University,Latitude,Longitude,Biome,Proximity to nearest edge,Proximity to safety,Proximity to human structures,Date,Time,Clouds,Precipitation,Wind,Squirrel species,Total vigilance,Total foraging,Total Alert Feeding,Total social,Total other,Total out of sight,Notes and comments,Number of conspecifics,Direct interaction with conspecifics,Conspecifics within 15m,Notes on conspecific behavior,Number of humans present other than yourself,Direct interaction with humans,Humans within 15m ,Notes on human behavior,Number of dogs present,Direct interaction with dogs,Dogs within 15m,Notes on dog behavior,Other animals present
Gonzaga University,47.66826,-117.40088,Core college campus,> 10m,0m,Within 15 meters of sidewalks,"Wednesday, March 17, 2021",10:27:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,16.0,0,,0,No,No,,3.0,No,Yes,Walking to and from class,0.0,"No, NA","No, NA",,
Gonzaga University,47.66765,-117.40408000000001,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Thursday, March 18, 2021",10:32:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,8.0,0,5.0,0,,0,,,,3.0,No,Yes,Walked past area where squirrel was,0.0,,,,
Gonzaga University,47.66765,-117.40408000000001,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Friday, March 19, 2021",10:32:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,8.0,0,5.0,0,,0,,,,3.0,No,Yes,Walked past area where squirrel was,0.0,,,,
Gonzaga University,47.66765,-117.40408000000001,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Saturday, March 20, 2021",10:32:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,8.0,0,5.0,0,,0,,,,3.0,No,Yes,Walked past area where squirrel was,0.0,,,,
Gonzaga University,47.66765,-117.40408000000001,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Sunday, March 21, 2021",10:32:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,8.0,0,5.0,0,,0,,,,3.0,No,Yes,Walked past area where squirrel was,0.0,,,,
Gonzaga University,47.66765,-117.40408000000001,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Monday, March 22, 2021",10:32:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,8.0,0,5.0,0,,0,,,,3.0,No,Yes,Walked past area where squirrel was,0.0,,,,
Gonzaga University,47.66765,-117.40408000000001,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Tuesday, March 23, 2021",10:32:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,8.0,0,5.0,0,,0,,,,3.0,No,Yes,Walked past area where squirrel was,0.0,,,,
Gonzaga University,47.66765,-117.40408000000001,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Wednesday, March 24, 2021",10:32:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,8.0,0,5.0,0,,0,,,,3.0,No,Yes,Walked past area where squirrel was,0.0,,,,
Gonzaga University,47.66765,-117.40408000000001,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Thursday, March 25, 2021",10:32:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,8.0,0,5.0,0,,0,,,,3.0,No,Yes,Walked past area where squirrel was,0.0,,,,
Gonzaga University,47.66765,-117.40408000000001,Core college campus,3 - 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Friday, March 26, 2021",10:32:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,8.0,0,5.0,0,,0,,,,3.0,No,Yes,Walked past area where squirrel was,0.0,,,,
Gonzaga University,47.66769,-117.40253,Core college campus,> 10m,0m,"Within 15 meters of paved road, Within 15 meters of buildings","Saturday, March 27, 2021",10:34:00 AM,Overcast,No,None,Western gray squirrel (Sciuris griseus),2.0,0.0,0.0,0,4.0,5,Observation stopped because squirrel could not be seen as it climbed tree.,1,No,No,,1.0,No,Yes,Partner,0.0,,,,No
Gonzaga University,47.67727,-117.4045,Core college campus,0 - 3m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Sunday, March 28, 2021",10:36:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,16.0,0,Squirrel was either running or stationary on a tree for the duration of the 5 minutes.,2,Yes,Yes,"At the very end of the 5 minute mark, my subject began to interact/chase after a conspecific. ",4.0,No,No,"No direct interaction, just passing by. ",0.0,,,,
Gonzaga University,47.67727,-117.4045,Core college campus,0 - 3m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Monday, March 29, 2021",10:36:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,16.0,0,Squirrel was either running or stationary on a tree for the duration of the 5 minutes.,2,Yes,Yes,"At the very end of the 5 minute mark, my subject began to interact/chase after a conspecific. ",4.0,No,No,"No direct interaction, just passing by. ",0.0,,,,
Gonzaga University,47.67727,-117.4045,Core college campus,0 - 3m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Tuesday, March 30, 2021",10:36:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,16.0,0,Squirrel was either running or stationary on a tree for the duration of the 5 minutes.,2,Yes,Yes,"At the very end of the 5 minute mark, my subject began to interact/chase after a conspecific. ",4.0,No,No,"No direct interaction, just passing by. ",0.0,,,,
Gonzaga University,47.667907,-117.40383999999999,Core college campus,0 - 3m,3 - 15m,"Natural area, off trail, Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Wednesday, March 31, 2021",10:37:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),4.0,5.0,5.0,0,2.0,0,Squirrel spent a lot of time running around and eating.,0,No,Yes,"Other squirrels were present, but they did not interact with eachother.",45.0,No,Yes,Squirrel was not bothered by the humans.,0.0,No,No,No dogs present,Only other animal present was other squirrels.
Gonzaga University,47.66745,117.40218999999999,Core college campus,0 - 3m,0m,"Natural area, off trail","Thursday, April 1, 2021",10:41:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),1.0,4.0,0.0,0,11.0,0,,0,,,,0.0,,,,0.0,,,,
Gonzaga University,47.66795,117.40071999999999,Core college campus,3 - 10m,0m,Within 15 meters of sidewalks,"Friday, April 2, 2021",10:42:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),4.0,0.0,0.0,1,11.0,0,,2,Yes,Yes,One squirrel chased another one.,9.0,No,Yes,People were transitioning between classes.,0.0,No,No,,
Gonzaga University,47.66775,-117.40248999999999,Core college campus,> 10m,< 3m,"Within 15 meters of paved road, Within 15 meters of buildings","Saturday, April 3, 2021",10:45:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),11.0,2.0,1.0,0,2.0,0,,0,,,,0.0,,,Squirrel was very curious with me and my partner. It would get very close to both of us and go back near the tree for safety.,0.0,,,,
Gonzaga University,47.667,-117.40299999999999,Core college campus,3 - 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Sunday, April 4, 2021",10:49:00 AM,Overcast,No,Light breeze,Western gray squirrel (Sciuris griseus),2.0,2.0,1.0,3,5.0,1,,1,Yes,Yes,Ran away from dog,0.0,No,No,,1.0,Yes,Yes,Chased the squirrel,
Gonzaga University,47.66773,-117.40228,Core college campus,3 - 10m,0m,Within 15 meters of buildings,"Monday, April 5, 2021",11:00:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,11.0,0.0,0,4.0,0,,0,No,No,,30.0,No,Yes,Passing in between classes,0.0,No,No,,
Gonzaga University,47.66744,-117.40466,Core college campus,0 - 3m,0m,"Natural area, off trail, Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Tuesday, April 6, 2021",11:07:00 AM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,2.0,1.0,0,13.0,0,,1,No,Yes,,2.0,Yes,Yes,Seemed more vigilant when humans came nearby,0.0,No,No,,
Gonzaga University,47.66744,-117.40466,Core college campus,0 - 3m,0m,"Natural area, off trail, Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Wednesday, April 7, 2021",11:07:00 AM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,2.0,1.0,0,13.0,0,,1,No,Yes,,2.0,Yes,Yes,Seemed more vigilant when humans came nearby,0.0,No,No,,
Gonzaga University,47.66714,-117.40443,Core college campus,0 - 3m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Thursday, April 8, 2021",11:10:00 AM,Overcast,No,Steady breeze,Eastern gray squirrel (Sciurus carolinensis),10.0,6.0,0.0,0,0.0,0,,2,No,No,Watching each other,9.0,Yes,Yes,Watching and running from,0.0,,,,
Gonzaga,47.66714,-117.40443,Core college campus,0 - 3m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Friday, April 9, 2021",11:10:00 AM,Overcast,No,Steady breeze,Eastern gray squirrel (Sciurus carolinensis),10.0,6.0,0.0,0,0.0,0,,2,No,No,Watching each other,9.0,Yes,Yes,Watching and running from,0.0,,,,
Gonzaga University,47.6673,-117.40435,Core college campus,0 - 3m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Saturday, April 10, 2021",11:10:00 AM,Overcast,No,None,Eastern gray squirrel (Sciurus carolinensis),5.0,0.0,0.0,0,7.0,4,,2,No,Yes,Didn’t seem to interact,5.0,No,Yes,Walking by,0.0,No,No,,No
Gonzaga University,47.66852,-117.4019,Core college campus,> 10m,0m,"Within 15 meters of paved road, Within 15 meters of buildings","Sunday, April 11, 2021",11:15:00 AM,Partly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,4.0,1.0,2,7.0,2,,1,Yes,Yes,intraspecific dialogue,4.0,No,Yes,Did not interact with squirrel.,0.0,,,,
Gonzaga University,47.66725,-117.40422,Core college campus,0 - 3m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Monday, April 12, 2021",11:15:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,0.0,7.0,0,7.0,0,Other = sitting/resting,0,,,,1.0,No,Yes,"Human walked by food source, did not affect animal behavior",0.0,,,,
Gonzaga University,47.66688,-117.40812,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Tuesday, April 13, 2021",11:21:00 AM,Overcast,No,None,Western gray squirrel (Sciuris griseus),2.0,1.0,10.0,0,2.0,1,It ran under a car at the last time interval.,0,,,,1.0,No,Yes,,0.0,,,,
Gonzaga University,47.66852,-117.4019,Core college campus,> 10m,0m,"Within 15 meters of paved road, Within 15 meters of buildings","Wednesday, April 14, 2021",11:23:00 AM,Partly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),1.0,5.0,2.0,0,6.0,2,,1,Yes,Yes,"Conspecific interaction with 1st observed squirrel. No more social interaction observed, but still in close proximity. ",4.0,No,Yes,,0.0,,,,
Gonzaga University,47.6677,-117.40221000000001,Core college campus,> 10m,0m,Within 15 meters of buildings,"Thursday, April 15, 2021",11:30:00 AM,None,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,1.0,11,,0,"No, NA",,,0.0,"No, NA",No,,0.0,,,,
Gonzaga University,47.66827,-117.40038999999999,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Friday, April 16, 2021",11:30:00 AM,None,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,16.0,0,resting the entire duration,5,No,Yes,resting on different tree,5.0,No,Yes,passed under tree,0.0,"No, NA","No, NA",,
Gonzaga University,47.6679,-117.40006000000001,Core college campus,> 10m,< 3m,Within 15 meters of sidewalks,"Saturday, April 17, 2021",11:30:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),4.0,8.0,0.0,0,4.0,1,,0,No,No,,2.0,No,Yes,,0.0,No,No,,
Gonzaga University,47.66637,-117.40256000000001,Core college campus,> 10m,0m,Within 15 meters of buildings,"Sunday, April 18, 2021",11:30:00 AM,Mostly sunny,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),16.0,0.0,0.0,0,0.0,0,,0,,,,2.0,No,Yes,,0.0,,,,
Gonzaga University,47.6679,-117.40006000000001,Core college campus,> 10m,< 3m,Within 15 meters of sidewalks,"Monday, April 19, 2021",11:30:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),4.0,8.0,0.0,0,4.0,1,,0,No,No,,2.0,No,Yes,,0.0,No,No,,
Gonzaga University,47.66745,-117.40303,Core college campus,> 10m,0m,Within 15 meters of buildings,"Tuesday, April 20, 2021",11:30:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,7.0,2.0,0,4.0,3,about 20 humans passed over the 5 minutes; when marked N/A squirrel was in tree out of sight,0,,,,20.0,No,Yes,walking by during class passing period,0.0,,,,
Gonzaga University,47.6676,-117.40438,Core college campus,> 10m,3 - 15m,Within 15 meters of sidewalks,"Wednesday, April 21, 2021",11:35:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),7.0,3.0,0.0,0,2.0,4,,0,,,,0.0,,,,0.0,,,,
Gonzaga University,47.66758,-117.4038,Core college campus,0 - 3m,0m,Within 15 meters of buildings,"Thursday, April 22, 2021",11:35:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),10.0,2.0,0.0,0,4.0,0,mostly stayed vigilance also was looking a small bird in the parking lot. Shielded itself into safety  most of the time ( was in tree and shrubs) was quick to travel and only was safe places. Only 2 humans and 1 bird was present near the squirrel at the time of observation,3,No,Yes,"Humans happened to be exercising (running) so their was no direct interaction between the humans and the squirrel. The bird also had no direct contact with the squirrel, but squirrel stayed vigilance because of the bird.",2.0,No,Yes,Humans were running so there was no direct interaction between the humans and the squirrel,0.0,No,No,,"a small bird; there was no direct interactions, was closer than 15 m, the position and location of the bird made the squirrel become vigilant as the time observed"
Gonzaga University,47.66767,-117.40316999999999,Core college campus,> 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Friday, April 23, 2021",11:35:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),12.0,2.0,1.0,0,1.0,0,,1,No,Yes,,2.0,No,Yes,,0.0,,,,
Gonzaga University,47.66754,-117.40308999999999,Core college campus,> 10m,0m,Within 15 meters of buildings,"Saturday, April 24, 2021",11:40:00 AM,None,No,None,Eastern gray squirrel (Sciurus carolinensis),2.0,1.0,0.0,0,13.0,0,in tree entire time,0,No,No,,2.0,No,Yes,,0.0,No,No,,
Gonzaga University,47.666579999999996,-117.40813,Core college campus,0 - 3m,< 3m,Within 15 meters of buildings,"Sunday, April 25, 2021",11:40:00 AM,Mostly cloudy,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,1.0,15,"Squirrel was spotted running, but quickly climbed a tree shortly after initial spotting.",0,,,,1.0,No,Yes,A man walked by along the path nearby.,0.0,,,,
Gonzaga University,47.667590000000004,-117.40283000000001,Core college campus,> 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Monday, April 26, 2021",11:45:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),9.0,2.0,2.0,0,3.0,0,,0,,,,2.0,No,No,,0.0,,,,
Gonzaga University,47.66829,-117.40031,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Tuesday, April 27, 2021",11:46:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,0.0,3,8.0,2,,2,Yes,Yes,chasing each other,5.0,No,Yes,,0.0,"No, NA",No,,
Gonzaga University,47.66829,-117.40031,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Wednesday, April 28, 2021",11:46:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),1.0,2.0,0.0,3,8.0,2,,2,Yes,Yes,chasing each other,5.0,No,Yes,,0.0,"No, NA",No,,
Gonzaga University,47.66789,117.40368000000001,Core college campus,> 10m,3 - 15m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Thursday, April 29, 2021",11:50:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,8.0,0.0,0,8.0,0,"The squirrel was very active and running a lot of the time, stopping to forage.",0,No,"Yes, No",,2.0,No,Yes,Avoided contact with squirrel,0.0,No,No,,
Gonzaga University,47.667970000000004,-117.40298,Core college campus,> 10m,3 - 15m,Within 15 meters of buildings,"Friday, April 30, 2021",11:50:00 AM,None,No,Steady breeze,Eastern gray squirrel (Sciurus carolinensis),6.0,9.0,1.0,0,0.0,0,,0,No,No,,0.0,No,No,,0.0,No,No,,
Gonzaga University,47.667970000000004,-117.4025,Core college campus,> 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of dirt/gravel road, Within 15 meters of paved road, Within 15 meters of buildings","Saturday, May 1, 2021",11:53:00 AM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,3.0,1.0,0,4.0,9,,0,,,,4.0,No,Yes,,0.0,,,,
Gonzaga University,47.6676,-117.40438,Core college campus,> 10m,< 3m,Within 15 meters of sidewalks,"Sunday, May 2, 2021",11:55:00 AM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),7.0,6.0,0.0,0,3.0,0,,0,,,,0.0,,,,0.0,,,,
Gonzaga University,38.54891,-121.47254,Core college campus,3 - 10m,3 - 15m,Within 15 meters of paved road,"Monday, May 3, 2021",12:00,Mostly sunny,No,None,Fox squirrel (Sciurus niger),3.0,7.0,1.0,0,2.0,3,,0,,,,,,,,,,,,
Gonzaga University,41.14,-122.0936,Core college campus,3 - 10m,< 3m,Within 15 meters of paved road,"Tuesday, May 4, 2021",12:00 PM,Sunny,No,Steady breeze,Western gray squirrel (Sciuris griseus),4.0,7.0,0.0,3,3.0,0,,0,,,Finding Acorns to forage,,,,,,,,,
Gonzaga University,38.5816,-121.4944,Core college campus,3 - 10m,< 3m,Within 15 meters of paved road,"Wednesday, May 5, 2021",12:00 PM,Sunny,No,None,Eastern gray squirrel (Sciurus carolinensis),6.0,3.0,1.0,0,4.0,0,,0,,Yes,There was one other squirrel that was running nearby.,,,,,,,,,
Gonzaga University,47.66737,-117.40522,Core college campus,> 10m,< 3m,Within 15 meters of sidewalks,"Thursday, May 6, 2021",12:00:00 PM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),3.0,11.0,2.0,0,0.0,0,,0,No,No,,1.0,No,,human was just watching,0.0,No,No,,
Gonzaga University,47.66769,-117.40445,Core college campus,> 10m,3 - 15m,"Within 15 meters of paved road, Within 15 meters of buildings","Friday, May 7, 2021",12:00:00 PM,None,No,Light breeze,Fox squirrel (Sciurus niger),0.0,2.0,8.0,1,5.0,0,squirrel very active; students passing by; brief chase with another squirrel,1,Yes,Yes,chase with focal animal,20.0,No,Yes,walking by during passing period between classes,0.0,,,,
Gonzaga University,47.666579999999996,-117.40151999999999,Core college campus,> 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Saturday, May 8, 2021",12:00:00 PM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),9.0,5.0,2.0,0,0.0,0,,0,,,,0.0,,,,0.0,,,,
Gonzaga University,47.667970000000004,-117.4025,Core college campus,3 - 10m,0m,Within 15 meters of sidewalks,"Sunday, May 9, 2021",12:00:00 PM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,9.0,0,3.0,4,Fed in a tree majority of the observation time.,0,,,,2.0,No,No,Students quietly studied at a nearby table.,0.0,,,,
Gonzaga University,47.66755,-117.40406999999999,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Monday, May 10, 2021",12:04:00 PM,Mostly sunny,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),6.0,0.0,0.0,1,4.0,4,Ran from branch to branch but never exited the tree.,1,Yes,Yes,Looked at each other and kind of hung out for a few seconds before sprinting off to another branch,15.0,No,No,Within 30m but never within 15m,0.0,,,,None
Gonzaga University,47.66755,-117.40406999999999,Core college campus,> 10m,0m,"Natural area, off trail, Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Tuesday, May 11, 2021",12:04:00 PM,Mostly sunny,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),7.0,0.0,0.0,2,7.0,0,"The squirrel was originally observed chasing another squirrel, then was in a 4 leg surveillance position after being aware of our presence. The squirrel then felt safe and resumed running and grooming. The other squirrel reappeared and the chase resumed. Finally, the squirrel ran away from the other squirrel and rested and groomed on a branch. ",1,Yes,Yes,"The two squirrels chased each other, separated, then chased again.",0.0,No,No,,0.0,No,No,,
Gonzaga University,47.66782,-117.40311000000001,Core college campus,> 10m,0m,Within 15 meters of sidewalks,"Wednesday, May 12, 2021",12:05:00 PM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),10.0,0.0,0.0,0,6.0,0,,0,,,,2.0,No,No,,0.0,,,,0
Gonzaga University,47.66789,-117.40258999999999,Core college campus,> 10m,< 3m,"Natural area, off trail, Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Thursday, May 13, 2021",12:05:00 PM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),1.0,9.0,0.0,4,0.0,2,"Mostly feeding on bark, high up in the tree. Interacted socially with one other close by squirrel and was out of site under a pine tree for two 20-second sections.",1,Yes,Yes,Chased one another and ran.,4.0,No,Yes,Humans present were all observing the squirrels.,0.0,,,,none
Gonzaga University,47.667970000000004,-117.4025,Core college campus,> 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of dirt/gravel road, Within 15 meters of paved road, Within 15 meters of buildings","Friday, May 14, 2021",12:05:00 PM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,7.0,1.0,1,5.0,0,Most other is run/climbing trees,1,No,Yes,,6.0,No,Yes,,0.0,,,,
Gonzaga University,47.667,-117.40299999999999,Core college campus,> 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Saturday, May 15, 2021",12:08:00 PM,Mostly sunny,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),4.0,12.0,0.0,0,0.0,0,Mostly eating and foraging,0,No,No,,0.0,No,No,,0.0,No,No,,
Gonzaga University,47.66728,-117.40357,Core college campus,> 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Sunday, May 16, 2021",12:11:00 PM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,14.0,0.0,0,2.0,0,,1,No,Yes,,10.0,No,Yes,,0.0,No,No,,
Gonzaga University,47.667970000000004,-117.4025,Core college campus,> 10m,0m,Within 15 meters of sidewalks,"Monday, May 17, 2021",12:11:00 PM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),3.0,0.0,0.0,0,12.0,1,Subject ran up and down tree for the majority of the observation period.,1,No,Yes,Squirrel scurried around nearby but neither the subject nor the conspecific was bothered.,4.0,No,No,Students walked on path below the tree where the subject was located.,0.0,,,,
Gonzaga University,47.66742,-117.40422,Core college campus,> 10m,0m,Within 15 meters of buildings,"Tuesday, May 18, 2021",12:12:00 PM,None,No,Steady breeze,Eastern gray squirrel (Sciurus carolinensis),5.0,1.0,0.0,0,1.0,9,,0,No,No,,0.0,,,,0.0,,,,
Gonzaga University,47.66789,-117.40258999999999,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Wednesday, May 19, 2021",12:15:00 PM,Mostly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),0.0,16.0,0.0,0,0.0,0,"Foraging on leaves, tree bark, and other parts of nature while in tree. Never alert feeding.",1,No,Yes,,2.0,No,Yes,,0.0,,,,none
Gonzaga University,47.66957,-117.40516000000001,Core college campus,> 10m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of dirt/gravel road, Within 15 meters of paved road, Within 15 meters of buildings","Thursday, May 20, 2021",12:15:00 PM,Mostly sunny,No,None,Eastern gray squirrel (Sciurus carolinensis),0.0,0.0,0.0,0,16.0,0,,0,No,No,,0.0,No,Yes,,0.0,No,No,,
Gonzaga University,47.66758,117.40231999999999,Core college campus,0 - 3m,0m,Within 15 meters of sidewalks,"Friday, May 21, 2021",12:15:00 PM,Partly cloudy,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),5.0,4.0,0.0,4,3.0,0,"Squirrel was chased by another squirrel, both were running around in circles",1,Yes,Yes,,0.0,,,,0.0,,,,
Gonzaga University,47.668040000000005,-117.40378,Core college campus,0 - 3m,0m,Within 15 meters of buildings,"Saturday, May 22, 2021",12:20:00 PM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),4.0,7.0,5.0,0,0.0,0,,0,No,No,,0.0,No,No,,0.0,No,No,,
Gonzaga University,47.66807,-117.40363,Core college campus,> 10m,15 - 30m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Sunday, May 23, 2021",12:20:00 PM,None,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),4.0,6.0,3.0,0,3.0,0,,0,,,,2.0,No,Yes,,0.0,,,,
Gonzaga University,47.66796,-117.40388,Core college campus,> 10m,< 3m,Within 15 meters of sidewalks,"Monday, May 24, 2021",12:21:00 PM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),5.0,5.0,0.0,0,6.0,0,,0,"No, NA",,,0.0,,,,0.0,,,,
Gonzaga University,47.66742,-117.40369,Core college campus,> 10m,0m,"Within 15 meters of sidewalks, Within 15 meters of buildings","Tuesday, May 25, 2021",12:23:00 PM,Mostly sunny,No,Steady breeze,Eastern gray squirrel (Sciurus carolinensis),2.0,5.0,1.0,0,5.0,3,"Very active, no interactions",0,No,No,,19.0,No,No,,0.0,No,No,,
Gonzaga University,47.66274,117.40803999999999,Core college campus,3 - 10m,3 - 15m,"Natural area, on trail","Wednesday, May 26, 2021",12:23:00 PM,Partly cloudy,No,None,Eastern gray squirrel (Sciurus carolinensis),7.0,2.0,1.0,0,6.0,0,Lots of runners passed so the squirrel was vigilant a lot,0,No,No,,6.0,No,Yes,Most were runners or walkers,0.0,No,No,,
Gonzaga University,47.66725,-117.40422,Core college campus,0 - 3m,< 3m,"Within 15 meters of sidewalks, Within 15 meters of paved road, Within 15 meters of buildings","Thursday, May 27, 2021",12:25:00 PM,Overcast,No,Light breeze,Eastern gray squirrel (Sciurus carolinensis),3.0,3.0,10.0,0,0.0,0,,0,,,,2.0,No,Yes,"Walking by, paid no attention to squirrel",0.0,,,,
